2026-03-06 00:05:12 | INFO | host:PC-VLCEK | user:tomas.vlcek | EVENT:LOGIN_SUCCESS | IP:10.0.0.12 | port:49210 | service:winlogon
2026-03-06 00:12:45 | INFO | host:PC-VLCEK | user:tomas.vlcek | EVENT:FILE_ACCESS | IP:10.0.0.12 | port:49210 | service:ntfs
2026-03-06 00:45:22 | INFO | host:SERVER01 | user:system | EVENT:SERVICE_START | IP:127.0.0.1 | port:0 | service:system
2026-03-06 01:15:01 | ERROR | host:SERVER01 | user:system | EVENT:DB_CONN_FAIL | IP:192.168.1.200 | port:3306 | service:database
2026-03-06 01:15:03 | ERROR | host:SERVER01 | user:system | EVENT:DB_CONN_FAIL | IP:192.168.1.200 | port:3306 | service:database
2026-03-06 01:15:05 | ERROR | host:SERVER01 | user:system | EVENT:DB_CONN_FAIL | IP:192.168.1.200 | port:3306 | service:database
2026-03-06 02:10:33 | INFO | host:PC-NEMEC | user:ondrej.nemec | EVENT:LOGIN_SUCCESS | IP:192.168.1.12 | port:51001 | service:winlogon
2026-03-06 02:22:14 | INFO | host:PC-NEMEC | user:ondrej.nemec | EVENT:FILE_ACCESS | IP:192.168.1.12 | port:51001 | service:ntfs
2026-03-06 03:01:44 | ERROR | host:SERVER01 | user:system | EVENT:DISK_FULL | IP:127.0.0.1 | port:0 | service:system
2026-03-06 03:05:12 | ERROR | host:SERVER01 | user:system | EVENT:DISK_FULL | IP:127.0.0.1 | port:0 | service:system
2026-03-06 04:55:12 | WARNING | host:SERVER01 | user:admin | EVENT:LOGIN_FAIL | IP:193.56.28.14 | port:38221 | service:sshd
2026-03-06 04:55:14 | WARNING | host:SERVER01 | user:admin | EVENT:LOGIN_FAIL | IP:193.56.28.14 | port:38222 | service:sshd
2026-03-06 04:55:16 | WARNING | host:SERVER01 | user:admin | EVENT:LOGIN_FAIL | IP:193.56.28.14 | port:38223 | service:sshd
2026-03-06 05:12:01 | INFO | host:PC-KRAL | user:martin.kral | EVENT:LOGIN_SUCCESS | IP:10.0.0.5 | port:49152 | service:winlogon
2026-03-06 06:30:15 | INFO | host:PC-NOVAK | user:jana.novak | EVENT:LOGIN_SUCCESS | IP:192.168.1.5 | port:50112 | service:winlogon
2026-03-06 06:45:20 | INFO | host:PC-NOVAK | user:jana.novak | EVENT:FILE_ACCESS | IP:192.168.1.5 | port:50112 | service:ntfs
2026-03-06 07:01:10 | INFO | host:PC-BLAHA | user:katerina.blaha | EVENT:LOGIN_SUCCESS | IP:10.0.0.20 | port:52140 | service:winlogon
2026-03-06 07:05:32 | INFO | host:PC-BLAHA | user:katerina.blaha | EVENT:FILE_ACCESS | IP:10.0.0.20 | port:52140 | service:security
2026-03-06 07:15:45 | INFO | host:PC-PROCHAZKA | user:jan.prochazka | EVENT:LOGIN_SUCCESS | IP:10.0.0.18 | port:49600 | service:winlogon
2026-03-06 07:18:22 | INFO | host:PC-PROCHAZKA | user:jan.prochazka | EVENT:FILE_ACCESS | IP:10.0.0.18 | port:49600 | service:ntfs
2026-03-06 07:30:11 | INFO | host:PC-DVORAK | user:petr.dvorak | EVENT:LOGIN_SUCCESS | IP:10.0.0.15 | port:50210 | service:winlogon
2026-03-06 07:35:44 | INFO | host:PC-DVORAK | user:petr.dvorak | EVENT:PERMISSION_CHANGE | IP:10.0.0.15 | port:50210 | service:ntfs
2026-03-06 07:45:12 | INFO | host:PC-SVOBODA | user:eva.svoboda | EVENT:LOGIN_SUCCESS | IP:192.168.1.10 | port:51550 | service:winlogon
2026-03-06 07:50:23 | INFO | host:PC-SVOBODA | user:eva.svoboda | EVENT:FILE_ACCESS | IP:192.168.1.10 | port:51550 | service:ntfs
2026-03-06 08:00:01 | INFO | host:PC-MALA | user:lucie.mala | EVENT:LOGIN_SUCCESS | IP:10.0.0.8 | port:51900 | service:winlogon
2026-03-06 08:05:14 | INFO | host:PC-MALA | user:lucie.mala | EVENT:FILE_ACCESS | IP:10.0.0.8 | port:51900 | service:ntfs
2026-03-06 08:12:40 | INFO | host:PC-VLCEK | user:tomas.vlcek | EVENT:LOGOUT | IP:10.0.0.12 | port:49210 | service:winlogon
2026-03-06 08:15:33 | INFO | host:PC-NOVAK | user:jana.novak | EVENT:PERMISSION_CHANGE | IP:192.168.1.5 | port:50112 | service:security
2026-03-06 08:20:19 | INFO | host:PC-KRAL | user:martin.kral | EVENT:FILE_ACCESS | IP:10.0.0.5 | port:49152 | service:security
2026-03-06 08:30:00 | WARNING | host:SERVER01 | user:jana.novak | EVENT:LOGIN_FAIL | IP:185.220.101.5 | port:41221 | service:sshd
2026-03-06 08:30:02 | WARNING | host:SERVER01 | user:jana.novak | EVENT:LOGIN_FAIL | IP:185.220.101.5 | port:41222 | service:sshd
2026-03-06 08:30:05 | WARNING | host:SERVER01 | user:jana.novak | EVENT:LOGIN_FAIL | IP:185.220.101.5 | port:41225 | service:sshd
2026-03-06 08:30:07 | WARNING | host:SERVER01 | user:jana.novak | EVENT:LOGIN_FAIL | IP:185.220.101.5 | port:41229 | service:sshd
2026-03-06 08:30:10 | WARNING | host:SERVER01 | user:jana.novak | EVENT:LOGIN_FAIL | IP:185.220.101.5 | port:41235 | service:sshd
2026-03-06 08:30:12 | ERROR | host:SERVER01 | user:jana.novak | EVENT:ACCOUNT_LOCKED | IP:185.220.101.5 | port:41240 | service:sshd
2026-03-06 08:35:19 | INFO | host:PC-NOVAK | user:jana.novak | EVENT:LOGOUT | IP:192.168.1.5 | port:50112 | service:winlogon
2026-03-06 08:40:55 | INFO | host:SERVER01 | user:admin | EVENT:LOGIN_SUCCESS | IP:192.168.1.1 | port:53110 | service:sshd
2026-03-06 08:45:12 | INFO | host:SERVER01 | user:admin | EVENT:FILE_ACCESS | IP:192.168.1.1 | port:53110 | service:sshd
2026-03-06 08:50:00 | ERROR | host:PC-KRAL | user:martin.kral | EVENT:APP_CRASH | IP:10.0.0.5 | port:0 | service:application
2026-03-06 08:50:02 | ERROR | host:PC-KRAL | user:martin.kral | EVENT:APP_CRASH | IP:10.0.0.5 | port:0 | service:application
2026-03-06 08:55:14 | INFO | host:PC-BLAHA | user:katerina.blaha | EVENT:LOGOUT | IP:10.0.0.20 | port:52140 | service:winlogon
2026-03-06 09:01:23 | INFO | host:PC-BLAHA | user:katerina.blaha | EVENT:LOGIN_SUCCESS | IP:193.56.28.14 | port:50122 | service:sshd
2026-03-06 09:10:45 | INFO | host:PC-BLAHA | user:katerina.blaha | EVENT:FILE_ACCESS | IP:193.56.28.14 | port:50122 | service:sshd
2026-03-06 09:15:33 | INFO | host:PC-BLAHA | user:katerina.blaha | EVENT:LOGOUT | IP:193.56.28.14 | port:50122 | service:sshd
2026-03-06 09:25:00 | INFO | host:FIREWALL | user:system | EVENT:PORT_SCAN | IP:45.33.32.156 | port:21 | service:security
2026-03-06 09:25:01 | INFO | host:FIREWALL | user:system | EVENT:PORT_SCAN | IP:45.33.32.156 | port:22 | service:security
2026-03-06 09:25:02 | INFO | host:FIREWALL | user:system | EVENT:PORT_SCAN | IP:45.33.32.156 | port:23 | service:security
2026-03-06 09:25:03 | INFO | host:FIREWALL | user:system | EVENT:PORT_SCAN | IP:45.33.32.156 | port:25 | service:security
2026-03-06 09:25:04 | INFO | host:FIREWALL | user:system | EVENT:PORT_SCAN | IP:45.33.32.156 | port:53 | service:security
2026-03-06 09:25:05 | INFO | host:FIREWALL | user:system | EVENT:PORT_SCAN | IP:45.33.32.156 | port:80 | service:security
2026-03-06 09:25:06 | INFO | host:FIREWALL | user:system | EVENT:PORT_SCAN | IP:45.33.32.156 | port:110 | service:security
2026-03-06 09:25:07 | INFO | host:FIREWALL | user:system | EVENT:PORT_SCAN | IP:45.33.32.156 | port:443 | service:security
2026-03-06 09:25:08 | INFO | host:FIREWALL | user:system | EVENT:PORT_SCAN | IP:45.33.32.156 | port:1433 | service:security
2026-03-06 09:25:09 | INFO | host:FIREWALL | user:system | EVENT:PORT_SCAN | IP:45.33.32.156 | port:3306 | service:security
2026-03-06 09:25:10 | INFO | host:FIREWALL | user:system | EVENT:PORT_SCAN | IP:45.33.32.156 | port:3389 | service:security
2026-03-06 09:25:11 | INFO | host:FIREWALL | user:system | EVENT:PORT_SCAN | IP:45.33.32.156 | port:8080 | service:security
2026-03-06 09:30:15 | INFO | host:PC-NEMEC | user:ondrej.nemec | EVENT:LOGOUT | IP:192.168.1.12 | port:51001 | service:winlogon
2026-03-06 09:40:22 | INFO | host:PC-KRAL | user:martin.kral | EVENT:LOGOUT | IP:10.0.0.5 | port:49152 | service:winlogon
2026-03-06 09:45:14 | INFO | host:PC-DVORAK | user:petr.dvorak | EVENT:FILE_ACCESS | IP:10.0.0.15 | port:50210 | service:ntfs
2026-03-06 09:50:33 | INFO | host:PC-SVOBODA | user:eva.svoboda | EVENT:PERMISSION_CHANGE | IP:192.168.1.10 | port:51550 | service:security
2026-03-06 09:55:12 | INFO | host:PC-MALA | user:lucie.mala | EVENT:LOGOUT | IP:10.0.0.8 | port:51900 | service:winlogon
2026-03-06 10:01:47 | INFO | host:PC-PROCHAZKA | user:jan.prochazka | EVENT:LOGOUT | IP:10.0.0.18 | port:49600 | service:winlogon
2026-03-06 10:05:23 | INFO | host:PC-DVORAK | user:petr.dvorak | EVENT:LOGOUT | IP:10.0.0.15 | port:50210 | service:winlogon
2026-03-06 10:10:14 | INFO | host:PC-SVOBODA | user:eva.svoboda | EVENT:LOGOUT | IP:192.168.1.10 | port:51550 | service:winlogon
2026-03-06 10:15:00 | INFO | host:SERVER01 | user:admin | EVENT:LOGOUT | IP:192.168.1.1 | port:53110 | service:sshd
2026-03-06 10:20:45 | INFO | host:PC-VLCEK | user:tomas.vlcek | EVENT:LOGIN_SUCCESS | IP:10.0.0.12 | port:50431 | service:winlogon
2026-03-06 10:25:30 | INFO | host:PC-VLCEK | user:tomas.vlcek | EVENT:FILE_ACCESS | IP:10.0.0.12 | port:50431 | service:ntfs
2026-03-06 10:30:14 | INFO | host:PC-NOVAK | user:jana.novak | EVENT:LOGIN_SUCCESS | IP:192.168.1.5 | port:51220 | service:winlogon
2026-03-06 10:35:22 | INFO | host:PC-NOVAK | user:jana.novak | EVENT:FILE_ACCESS | IP:192.168.1.5 | port:51220 | service:ntfs
2026-03-06 10:40:00 | INFO | host:PC-BLAHA | user:katerina.blaha | EVENT:LOGIN_SUCCESS | IP:10.0.0.20 | port:53112 | service:winlogon
2026-03-06 10:45:15 | INFO | host:PC-BLAHA | user:katerina.blaha | EVENT:FILE_ACCESS | IP:10.0.0.20 | port:53112 | service:ntfs
2026-03-06 10:50:33 | INFO | host:PC-KRAL | user:martin.kral | EVENT:LOGIN_SUCCESS | IP:10.0.0.5 | port:49880 | service:winlogon
2026-03-06 10:55:14 | INFO | host:PC-KRAL | user:martin.kral | EVENT:FILE_ACCESS | IP:10.0.0.5 | port:49880 | service:ntfs
2026-03-06 11:00:22 | INFO | host:PC-PROCHAZKA | user:jan.prochazka | EVENT:LOGIN_SUCCESS | IP:10.0.0.18 | port:50114 | service:winlogon
2026-03-06 11:05:40 | INFO | host:PC-PROCHAZKA | user:jan.prochazka | EVENT:FILE_ACCESS | IP:10.0.0.18 | port:50114 | service:security
2026-03-06 11:10:15 | INFO | host:PC-DVORAK | user:petr.dvorak | EVENT:LOGIN_SUCCESS | IP:10.0.0.15 | port:51025 | service:winlogon
2026-03-06 11:15:30 | INFO | host:PC-DVORAK | user:petr.dvorak | EVENT:FILE_ACCESS | IP:10.0.0.15 | port:51025 | service:ntfs
2026-03-06 11:20:44 | INFO | host:PC-SVOBODA | user:eva.svoboda | EVENT:LOGIN_SUCCESS | IP:192.168.1.10 | port:52110 | service:winlogon
2026-03-06 11:25:12 | INFO | host:PC-SVOBODA | user:eva.svoboda | EVENT:FILE_ACCESS | IP:192.168.1.10 | port:52110 | service:ntfs
2026-03-06 11:30:05 | INFO | host:PC-MALA | user:lucie.mala | EVENT:LOGIN_SUCCESS | IP:10.0.0.8 | port:52441 | service:winlogon
2026-03-06 11:35:19 | INFO | host:PC-MALA | user:lucie.mala | EVENT:FILE_ACCESS | IP:10.0.0.8 | port:52441 | service:ntfs
2026-03-06 11:40:00 | INFO | host:PC-NEMEC | user:ondrej.nemec | EVENT:LOGIN_SUCCESS | IP:192.168.1.12 | port:51992 | service:winlogon
2026-03-06 11:45:23 | INFO | host:PC-NEMEC | user:ondrej.nemec | EVENT:FILE_ACCESS | IP:192.168.1.12 | port:51992 | service:ntfs
2026-03-06 11:50:14 | INFO | host:PC-VLCEK | user:tomas.vlcek | EVENT:PERMISSION_CHANGE | IP:10.0.0.12 | port:50431 | service:security
2026-03-06 11:55:47 | INFO | host:PC-NOVAK | user:jana.novak | EVENT:PERMISSION_CHANGE | IP:192.168.1.5 | port:51220 | service:security
2026-03-06 12:00:10 | INFO | host:PC-BLAHA | user:katerina.blaha | EVENT:PERMISSION_CHANGE | IP:10.0.0.20 | port:53112 | service:security
2026-03-06 12:05:32 | INFO | host:PC-KRAL | user:martin.kral | EVENT:PERMISSION_CHANGE | IP:10.0.0.5 | port:49880 | service:security
2026-03-06 12:10:45 | INFO | host:PC-PROCHAZKA | user:jan.prochazka | EVENT:PERMISSION_CHANGE | IP:10.0.0.18 | port:50114 | service:security
2026-03-06 12:15:14 | INFO | host:PC-DVORAK | user:petr.dvorak | EVENT:PERMISSION_CHANGE | IP:10.0.0.15 | port:51025 | service:security
2026-03-06 12:20:33 | INFO | host:PC-SVOBODA | user:eva.svoboda | EVENT:PERMISSION_CHANGE | IP:192.168.1.10 | port:52110 | service:security
2026-03-06 12:25:22 | INFO | host:PC-MALA | user:lucie.mala | EVENT:PERMISSION_CHANGE | IP:10.0.0.8 | port:52441 | service:security
2026-03-06 12:30:15 | INFO | host:PC-NEMEC | user:ondrej.nemec | EVENT:PERMISSION_CHANGE | IP:192.168.1.12 | port:51992 | service:security
2026-03-06 12:35:40 | INFO | host:PC-VLCEK | user:tomas.vlcek | EVENT:LOGOUT | IP:10.0.0.12 | port:50431 | service:winlogon
2026-03-06 12:40:11 | INFO | host:PC-NOVAK | user:jana.novak | EVENT:LOGOUT | IP:192.168.1.5 | port:51220 | service:winlogon
